ValidFrom  	ValidTo    	Subtype	SDC-STD	STA-SDO	MutDate    	ApprDate   	GenDate
27-MAR-2005	26-JUN-2005	"M11"  	      2	      1	01-JAN-2005	01-JAN-2005	31-MAY-2012
27-JUN-2005	26-MAR-2006	"M11"  	      2	      1	01-MAR-2005	01-MAR-2005	31-MAY-2012
27-MAR-2006	20-DEC-2007	"M11"  	      2	      1	26-JAN-2006	26-JAN-2006	31-MAY-2012
21-DEC-2007	29-MAR-2008	"M11"  	      2	      1	21-DEC-2007	21-DEC-2007	31-MAY-2012
30-MAR-2008	08-JUN-2010	"M11"  	      4	      3	24-JAN-2008	24-JAN-2008	31-MAY-2012
09-JUN-2010	31-DEC-2099	"M11"  	      2	      1	31-MAY-2012	31-MAY-2012	31-MAY-2012
27-MAR-2006	20-DEC-2007	"332"  	      2	      1	26-JAN-2006	26-JAN-2006	31-MAY-2012
21-DEC-2007	29-MAR-2008	"332"  	      2	      1	21-DEC-2007	21-DEC-2007	31-MAY-2012
30-MAR-2008	08-JUN-2010	"332"  	      2	      2	24-JAN-2008	24-JAN-2008	31-MAY-2012
09-JUN-2010	31-DEC-2099	"332"  	      2	      2	31-MAY-2012	31-MAY-2012	31-MAY-2012
01-DEC-2011	31-DEC-2099	"333"  	      2	      2	31-MAY-2012	31-MAY-2012	31-MAY-2012
28-OCT-2006	20-DEC-2007	"73H"  	      2	      2	28-OCT-2006	28-OCT-2006	31-MAY-2012
21-DEC-2007	29-MAR-2008	"73H"  	      2	      2	21-DEC-2007	21-DEC-2007	31-MAY-2012
30-MAR-2008	08-JUN-2010	"73H"  	      2	      1	24-JAN-2008	24-JAN-2008	31-MAY-2012
09-JUN-2010	31-DEC-2099	"73H"  	      2	      2	31-MAY-2012	31-MAY-2012	31-MAY-2012
28-OCT-2006	20-DEC-2007	"73J"  	      2	      2	28-OCT-2006	28-OCT-2006	31-MAY-2012
21-DEC-2007	29-MAR-2008	"73J"  	      2	      2	21-DEC-2007	21-DEC-2007	31-MAY-2012
30-MAR-2008	08-JUN-2010	"73J"  	      2	      1	24-JAN-2008	24-JAN-2008	31-MAY-2012
09-JUN-2010	31-DEC-2099	"73J"  	      2	      2	31-MAY-2012	31-MAY-2012	31-MAY-2012
28-OCT-2006	20-DEC-2007	"73W"  	      2	      2	28-OCT-2006	28-OCT-2006	31-MAY-2012
