ID	ValidFrom	ValidTo	From	To	Subtype	T_AMS	P_05	P_10	P_20	P_30	P_40	P_50	P_55	P_60	P_65	P_70	P_75	P_80	P_85	P_90	P_95	P_98	MutDate	ApprDate	GenDate	nr.obs
 106179	30-MAR-2014	25-OCT-2014	"ABZ"	"AMS"	"M11"  	   400	   3	   3	   4	   5	   7	   9	  11	  13	  14	  16	  17	  19	  21	  23	  29	  37	08-OCT-2013	04-OCT-2013	10-APR-2014	     .
 106217	30-MAR-2014	25-OCT-2014	"ABZ"	"AMS"	"M11"  	   695	   2	   2	   2	   3	   3	   4	   4	   5	   5	   5	   6	   6	   7	   8	  10	  19	08-OCT-2013	04-OCT-2013	10-APR-2014	     .
 100659	30-MAR-2014	25-OCT-2014	"ACC"	"AMS"	"M11"  	   300	   4	   4	   5	   6	   6	   7	   7	   8	   8	   8	   9	  10	  11	  12	  14	  19	08-OCT-2013	04-OCT-2013	10-APR-2014	     .
  96065	27-OCT-2013	29-MAR-2014	"ACC"	"AMS"	"M11"  	   350	   4	   4	   5	   6	   6	   7	   7	   8	   8	   9	   9	  10	  11	  12	  15	  20	05-APR-2013	04-APR-2013	10-APR-2014	     .
  99600	30-MAR-2014	25-OCT-2014	"ALA"	"AMS"	"M11"  	   330	   2	   2	   2	   3	   3	   3	   4	   4	   4	   5	   5	   6	   6	   7	   9	  12	08-OCT-2013	04-OCT-2013	10-APR-2014	     .
  95283	27-OCT-2013	29-MAR-2014	"ALA"	"AMS"	"M11"  	   400	   1	   1	   2	   3	   3	   4	   4	   4	   5	   5	   6	   7	   7	   9	  12	  15	05-APR-2013	04-APR-2013	10-APR-2014	     .
 106196	30-MAR-2014	25-OCT-2014	"AMS"	"ABZ"	"M11"  	   465	   1	   1	   2	   3	   4	   4	   5	   5	   6	   7	   7	   8	   9	  11	  14	  18	08-OCT-2013	04-OCT-2013	10-APR-2014	     .
 106239	30-MAR-2014	25-OCT-2014	"AMS"	"ABZ"	"M11"  	   850	   2	   2	   2	   3	   3	   3	   4	   4	   4	   5	   5	   6	   7	   9	  11	  13	08-OCT-2013	04-OCT-2013	10-APR-2014	     .
 106255	30-MAR-2014	25-OCT-2014	"AMS"	"ABZ"	"M11"  	  1175	   2	   2	   2	   3	   3	   4	   4	   5	   5	   6	   6	   7	   8	   9	  12	  14	08-OCT-2013	04-OCT-2013	10-APR-2014	     .
 100640	30-MAR-2014	25-OCT-2014	"AMS"	"ACC"	"M11"  	   790	   1	   1	   2	   2	   3	   3	   4	   4	   5	   5	   6	   7	   8	  10	  13	  18	08-OCT-2013	04-OCT-2013	10-APR-2014	     .
