ID	ValidFrom	ValidTo	From	To	Subtype	T_AMS	P_05	P_10	P_20	P_30	P_40	P_50	P_55	P_60	P_65	P_70	P_75	P_80	P_85	P_90	P_95	P_98	MutDate	ApprDate	GenDate	nr.obs
 106165	30-MAR-2014	25-OCT-2014	"ABZ"	"AMS"	"M11"  	   400	   1	   1	   1	   1	   1	   1	   1	   1	   1	   1	   1	   2	   2	   2	   2	   3	08-OCT-2013	04-OCT-2013	10-APR-2014	     .
 106210	30-MAR-2014	25-OCT-2014	"ABZ"	"AMS"	"M11"  	   695	   1	   1	   1	   1	   1	   1	   1	   1	   1	   2	   2	   2	   2	   2	   2	   3	08-OCT-2013	04-OCT-2013	10-APR-2014	     .
 100647	30-MAR-2014	25-OCT-2014	"ACC"	"AMS"	"M11"  	   300	   2	   2	   2	   2	   2	   2	   3	   3	   3	   3	   3	   3	   3	   4	   4	   5	08-OCT-2013	04-OCT-2013	10-APR-2014	     .
  96066	27-OCT-2013	29-MAR-2014	"ACC"	"AMS"	"M11"  	   350	   2	   2	   2	   2	   3	   3	   3	   3	   3	   3	   3	   3	   4	   4	   4	   5	05-APR-2013	04-APR-2013	10-APR-2014	     .
  99589	30-MAR-2014	25-OCT-2014	"ALA"	"AMS"	"M11"  	   330	   2	   2	   2	   2	   2	   2	   2	   3	   3	   3	   3	   3	   3	   3	   4	   5	08-OCT-2013	04-OCT-2013	10-APR-2014	     .
  95284	27-OCT-2013	29-MAR-2014	"ALA"	"AMS"	"M11"  	   400	   2	   2	   2	   2	   2	   3	   3	   3	   3	   3	   3	   3	   3	   3	   4	   4	05-APR-2013	04-APR-2013	10-APR-2014	     .
 106184	30-MAR-2014	25-OCT-2014	"AMS"	"ABZ"	"M11"  	   465	   0	   0	   0	   1	   1	   1	   1	   1	   1	   1	   1	   1	   1	   1	   2	   2	08-OCT-2013	04-OCT-2013	10-APR-2014	     .
 106227	30-MAR-2014	25-OCT-2014	"AMS"	"ABZ"	"M11"  	   850	   0	   0	   1	   1	   1	   1	   1	   1	   1	   1	   1	   1	   1	   1	   2	   2	08-OCT-2013	04-OCT-2013	10-APR-2014	     .
 106247	30-MAR-2014	25-OCT-2014	"AMS"	"ABZ"	"M11"  	  1175	   0	   0	   1	   1	   1	   1	   1	   1	   1	   1	   1	   1	   1	   2	   2	   2	08-OCT-2013	04-OCT-2013	10-APR-2014	     .
 100621	30-MAR-2014	25-OCT-2014	"AMS"	"ACC"	"M11"  	   790	   2	   2	   2	   2	   3	   3	   3	   3	   3	   4	   4	   4	   4	   5	   5	   6	08-OCT-2013	04-OCT-2013	10-APR-2014	     .
  96052	27-OCT-2013	29-MAR-2014	"AMS"	"ACC"	"M11"  	   850	   2	   2	   2	   2	   3	   3	   3	   3	   3	   3	   4	   4	   4	   4	   5	   7	05-APR-2013	04-APR-2013	10-APR-2014	     .
  99573	30-MAR-2014	25-OCT-2014	"AMS"	"ALA"	"M11"  	   805	   2	   2	   2	   2	   2	   2	   2	   3	   3	   3	   3	   3	   4	   4	   5	   6	08-OCT-2013	04-OCT-2013	10-APR-2014	     .
  95270	27-OCT-2013	29-MAR-2014	"AMS"	"ALA"	"M11"  	   855	   2	   2	   2	   2	   2	   3	   3	   3	   3	   3	   3	   3	   3	   3	   4	   4	05-APR-2013	04-APR-2013	10-APR-2014	     .
 103685	30-MAR-2014	25-OCT-2014	"AMS"	"ARN"	"M11"  	   290	   1	   1	   1	   1	   1	   1	   1	   1	   1	   1	   2	   2	   2	   2	   2	   3	08-OCT-2013	04-OCT-2013	10-APR-2014	     .
 103726	30-MAR-2014	25-OCT-2014	"AMS"	"ARN"	"M11"  	   495	   1	   1	   1	   1	   1	   1	   1	   1	   1	   1	   2	   2	   2	   2	   2	   3	08-OCT-2013	04-OCT-2013	10-APR-2014	     .
 103770	30-MAR-2014	25-OCT-2014	"AMS"	"ARN"	"M11"  	   750	   1	   1	   1	   1	   1	   1	   1	   1	   1	   1	   2	   2	   2	   2	   2	   3	08-OCT-2013	04-OCT-2013	10-APR-2014	     .
