ID	ValidFrom	ValidTo	Type	Subtype	TimeFrom	TimeTo	DepSt	ArrSt	Station	SPT	KOFArr	KOFDep	P_10	P_20	P_30	P_40	P_50	P_60	P_70	P_80	P_90	P_95	P_98	MutDate	ApprDate	GenDate	nr.obs
  26727	26-OCT-2014	28-MAR-2015	"T/A"	"M11"  	       0	  1440	""   	""   	"ACC"	 112	"X"   	"X"   	  95	  98	 100	 103	 106	 109	 110	 111	 124	 133	 138	20-FEB-2014	18-FEB-2014	11-APR-2014	     .
  26333	30-MAR-2014	25-OCT-2014	"T/A"	"M11"  	       0	  1440	""   	""   	"ACC"	 112	"X"   	"X"   	  95	  98	 100	 103	 106	 109	 110	 111	 124	 133	 138	15-JAN-2014	14-JAN-2014	11-APR-2014	     .
  23659	27-OCT-2013	29-MAR-2014	"T/A"	"M11"  	       0	  1440	""   	""   	"ACC"	 112	"X"   	"X"   	  95	  98	 100	 103	 106	 109	 110	 111	 124	 133	 138	20-AUG-2013	16-AUG-2013	11-APR-2014	     .
  21050	06-JAN-2014	30-MAR-2014	"ARR"	"M11"  	       0	  1440	""   	""   	"AMS"	  42	"I"   	"A"   	  42	  42	  42	  42	  42	  42	  42	  42	  42	  42	  42	23-MAY-2013	24-MAY-2013	11-APR-2014	     .
  21479	06-JAN-2014	30-MAR-2014	"DEP"	"M11"  	       0	  1440	"AMS"	"ATL"	"AMS"	  83	"A"   	"I"   	  70	  73	  75	  77	  79	  81	  83	  87	  93	  99	 109	23-MAY-2013	24-MAY-2013	11-APR-2014	     .
  21483	06-JAN-2014	30-MAR-2014	"DEP"	"M11"  	       0	  1440	"AMS"	"AUA"	"AMS"	  83	"A"   	"I"   	  68	  73	  75	  78	  79	  80	  81	  82	  88	  94	 105	23-MAY-2013	24-MAY-2013	11-APR-2014	     .
  21498	06-JAN-2014	30-MAR-2014	"DEP"	"M11"  	       0	  1440	"AMS"	"CUR"	"AMS"	  83	"A"   	"I"   	  74	  78	  79	  80	  82	  83	  85	  88	  93	  99	 109	23-MAY-2013	24-MAY-2013	11-APR-2014	     .
  21501	06-JAN-2014	30-MAR-2014	"DEP"	"M11"  	       0	  1440	"AMS"	"DEL"	"AMS"	  83	"A"   	"I"   	  69	  73	  75	  77	  79	  81	  83	  85	  90	  94	 101	23-MAY-2013	24-MAY-2013	11-APR-2014	     .
  21507	06-JAN-2014	30-MAR-2014	"DEP"	"M11"  	       0	  1440	"AMS"	"DXB"	"AMS"	  83	"A"   	"I"   	  67	  70	  72	  74	  76	  77	  81	  83	  86	  89	  93	23-MAY-2013	24-MAY-2013	11-APR-2014	     .
  21511	06-JAN-2014	30-MAR-2014	"DEP"	"M11"  	       0	  1440	"AMS"	"GIG"	"AMS"	  83	"A"   	"I"   	  70	  72	  74	  76	  78	  79	  81	  84	  88	  91	  92	23-MAY-2013	24-MAY-2013	11-APR-2014	     .
