ValidFrom  	ValidTo    	Subtype	check	Length	Kans	P_10	P_20	P_30	P_40	P_50	P_60	P_70	P_80	P_90	P_95	P_98	MutDate    	ApprDate   	GenDate
25-OCT-2009	31-DEC-2050	"M11"  	"##A"	  1560	0.62	1679	1740	1740	1770	1920	2010	2136	2280	3480	4188	5259	09-APR-2009	07-APR-2009	16-AUG-2012
28-OCT-2012	31-MAR-2013	"M11"  	"#TO"	     0	0.10	 225	 290	 360	 540	 660	1005	1290	1515	2775	4035	5999	16-AUG-2012	20-JUL-2012	16-AUG-2012
25-OCT-2009	27-OCT-2012	"M11"  	"#TO"	     0	0.12	 677	 750	 822	 897	 972	1232	1492	2068	2645	3158	4007	09-APR-2009	07-APR-2009	16-AUG-2012
01-APR-2013	31-DEC-2050	"M11"  	"#TO"	     0	0.12	 677	 750	 822	 897	 972	1232	1492	2068	2645	3158	4007	09-APR-2009	07-APR-2009	16-AUG-2012
25-OCT-2009	31-DEC-2050	"332"  	"##A"	  1560	0.71	1531	1560	1560	1560	1560	1560	1560	1675	1804	1887	2020	09-APR-2009	07-APR-2009	16-AUG-2012
25-OCT-2009	27-OCT-2012	"332"  	"#TO"	     0	0.02	 545	 646	 747	 916	1085	1238	1392	1720	2047	2443	2975	09-APR-2009	07-APR-2009	16-AUG-2012
01-APR-2013	31-DEC-2050	"332"  	"#TO"	     0	0.02	 545	 646	 747	 916	1085	1238	1392	1720	2047	2443	2975	09-APR-2009	07-APR-2009	16-AUG-2012
28-OCT-2012	31-MAR-2013	"332"  	"#TO"	     0	0.05	 185	 240	 300	 360	 420	 630	 900	1485	1980	2930	3650	16-AUG-2012	20-JUL-2012	16-AUG-2012
28-OCT-2012	31-MAR-2013	"333"  	"#TO"	     0	0.05	 185	 240	 300	 360	 420	 630	 900	1485	1980	2930	3650	16-AUG-2012	20-JUL-2012	16-AUG-2012
25-OCT-2009	31-DEC-2050	"73H"  	"##A"	   810	0.89	 603	 687	 729	 822	 830	 854	 885	 902	1146	1326	1518	09-APR-2009	07-APR-2009	16-AUG-2012
25-OCT-2009	31-DEC-2050	"73H"  	"##A"	  1880	0.89	1276	1501	1586	1746	1789	1933	2062	2566	3402	3999	4831	09-APR-2009	07-APR-2009	16-AUG-2012
28-OCT-2012	31-MAR-2013	"73H"  	"#TO"	     0	0.01	 155	 217	 279	 341	 403	 465	 527	 589	 651	 682	 700	16-AUG-2012	20-JUL-2012	16-AUG-2012
25-OCT-2009	27-OCT-2012	"73H"  	"#TO"	     0	0.03	 302	 382	 462	 532	 602	 696	 790	1016	1242	1482	1811	09-APR-2009	07-APR-2009	16-AUG-2012
01-APR-2013	31-DEC-2050	"73H"  	"#TO"	     0	0.03	 302	 382	 462	 532	 602	 696	 790	1016	1242	1482	1811	09-APR-2009	07-APR-2009	16-AUG-2012
25-OCT-2009	31-DEC-2050	"73J"  	"##A"	   810	0.89	 603	 687	 729	 822	 830	 854	 885	 902	1146	1326	1518	09-APR-2009	07-APR-2009	16-AUG-2012
25-OCT-2009	31-DEC-2050	"73J"  	"##A"	  1880	0.89	1276	1501	1586	1746	1789	1933	2062	2566	3402	3999	4831	09-APR-2009	07-APR-2009	16-AUG-2012
28-OCT-2012	31-MAR-2013	"73J"  	"#TO"	     0	0.01	 155	 217	 279	 341	 403	 465	 527	 589	 651	 682	 700	16-AUG-2012	20-JUL-2012	16-AUG-2012
25-OCT-2009	27-OCT-2012	"73J"  	"#TO"	     0	0.02	 302	 382	 462	 532	 602	 696	 790	1016	1242	1482	1811	09-APR-2009	07-APR-2009	16-AUG-2012
01-APR-2013	31-DEC-2050	"73J"  	"#TO"	     0	0.02	 302	 382	 462	 532	 602	 696	 790	1016	1242	1482	1811	09-APR-2009	07-APR-2009	16-AUG-2012
25-OCT-2009	31-DEC-2050	"73W"  	"##A"	   810	0.89	 603	 687	 729	 822	 830	 854	 885	 902	1146	1326	1518	09-APR-2009	07-APR-2009	16-AUG-2012
25-OCT-2009	31-DEC-2050	"73W"  	"##A"	  1880	0.89	1276	1501	1586	1746	1789	1933	2062	2566	3402	3999	4831	09-APR-2009	07-APR-2009	16-AUG-2012
28-OCT-2012	31-MAR-2013	"73W"  	"#TO"	     0	0.01	 155	 217	 279	 341	 403	 465	 527	 589	 651	 682	 700	16-AUG-2012	20-JUL-2012	16-AUG-2012
25-OCT-2009	27-OCT-2012	"73W"  	"#TO"	     0	0.02	 447	 496	 545	 582	 620	 740	 860	1822	2785	3437	4687	09-APR-2009	07-APR-2009	16-AUG-2012
01-APR-2013	31-DEC-2050	"73W"  	"#TO"	     0	0.02	 447	 496	 545	 582	 620	 740	 860	1822	2785	3437	4687	09-APR-2009	07-APR-2009	16-AUG-2012
25-OCT-2009	31-DEC-2050	"733"  	"##A"	  1880	0.88	1276	1501	1586	1746	1789	1933	2062	2566	3402	3999	4831	09-APR-2009	07-APR-2009	16-AUG-2012
25-OCT-2009	31-DEC-2050	"733"  	"#TO"	     0	0.02	 447	 496	 545	 582	 620	 740	 860	1822	2785	3437	4687	09-APR-2009	07-APR-2009	16-AUG-2012
25-OCT-2009	31-DEC-2050	"734"  	"##A"	  1880	0.88	1276	1501	1586	1746	1789	1933	2062	2566	3402	3999	4831	09-APR-2009	07-APR-2009	16-AUG-2012
25-OCT-2009	31-DEC-2050	"734"  	"#TO"	     0	0.03	 447	 496	 545	 582	 620	 740	 860	1822	2785	3437	4687	09-APR-2009	07-APR-2009	16-AUG-2012
25-OCT-2009	31-DEC-2050	"74E"  	"##A"	  1560	0.74	1620	1679	1724	1740	1740	1740	1740	2039	2769	3196	3865	09-APR-2009	07-APR-2009	16-AUG-2012
28-OCT-2012	31-MAR-2013	"74E"  	"#TO"	     0	0.06	 180	 240	 285	 390	 480	 840	1080	1350	2080	2920	4980	16-AUG-2012	20-JUL-2012	16-AUG-2012
25-OCT-2009	27-OCT-2012	"74E"  	"#TO"	     0	0.11	 457	 565	 672	 872	1072	1243	1415	1682	1950	2363	2873	09-APR-2009	07-APR-2009	16-AUG-2012
01-APR-2013	31-DEC-2050	"74E"  	"#TO"	     0	0.11	 457	 565	 672	 872	1072	1243	1415	1682	1950	2363	2873	09-APR-2009	07-APR-2009	16-AUG-2012
25-OCT-2009	31-DEC-2050	"74Y"  	"##A"	  1560	0.41	1473	1502	1560	1560	1560	1560	1848	2040	2300	2523	2902	09-APR-2009	07-APR-2009	16-AUG-2012
25-OCT-2009	31-DEC-2050	"74Y"  	"#TO"	     0	0.11	 457	 565	 672	 872	1072	1243	1415	1682	1950	2363	2873	09-APR-2009	07-APR-2009	16-AUG-2012
25-OCT-2009	31-DEC-2050	"744"  	"##A"	  1560	0.61	1620	1679	1724	1740	1740	1740	1740	2039	2769	3196	3865	09-APR-2009	07-APR-2009	16-AUG-2012
28-OCT-2012	31-MAR-2013	"744"  	"#TO"	     0	0.10	 180	 210	 270	 330	 405	 600	 815	1200	1680	2115	2655	16-AUG-2012	20-JUL-2012	16-AUG-2012
25-OCT-2009	27-OCT-2012	"744"  	"#TO"	     0	0.11	 457	 565	 672	 872	1072	1243	1415	1682	1950	2363	2873	09-APR-2009	07-APR-2009	16-AUG-2012
01-APR-2013	31-DEC-2050	"744"  	"#TO"	     0	0.11	 457	 565	 672	 872	1072	1243	1415	1682	1950	2363	2873	09-APR-2009	07-APR-2009	16-AUG-2012
25-OCT-2009	31-DEC-2050	"77W"  	"##A"	  1560	0.88	1499	1547	1560	1560	1560	1560	1560	1646	1819	1925	2066	09-APR-2009	07-APR-2009	16-AUG-2012
25-OCT-2009	27-OCT-2012	"77W"  	"#TO"	     0	0.02	 190	 270	 340	 390	 525	 780	 900	1090	1380	1713	2154	09-APR-2009	07-APR-2009	16-AUG-2012
01-APR-2013	31-DEC-2050	"77W"  	"#TO"	     0	0.02	 190	 270	 340	 390	 525	 780	 900	1090	1380	1713	2154	09-APR-2009	07-APR-2009	16-AUG-2012
28-OCT-2012	31-MAR-2013	"77W"  	"#TO"	     0	0.04	 235	 255	 370	 490	 600	 660	 870	1320	2490	5220	5910	16-AUG-2012	20-JUL-2012	16-AUG-2012
25-OCT-2009	31-DEC-2050	"772"  	"##A"	  1560	0.88	1499	1547	1560	1560	1560	1560	1560	1646	1819	1925	2066	09-APR-2009	07-APR-2009	16-AUG-2012
28-OCT-2012	31-MAR-2013	"772"  	"#TO"	     0	0.04	 180	 240	 300	 410	 594	 924	1200	1560	2490	3635	5999	16-AUG-2012	20-JUL-2012	16-AUG-2012
25-OCT-2009	27-OCT-2012	"772"  	"#TO"	     0	0.11	 545	 646	 747	 916	1085	1238	1392	1720	2047	2443	2975	09-APR-2009	07-APR-2009	16-AUG-2012
01-APR-2013	31-DEC-2050	"772"  	"#TO"	     0	0.11	 545	 646	 747	 916	1085	1238	1392	1720	2047	2443	2975	09-APR-2009	07-APR-2009	16-AUG-2012
