ValidFrom	ValidTo	Subtype	Chance	P_10	P_20	P_30	P_40	P_50	P_60	P_70	P_80	P_90	P_95	P_98
30-Mar-2008	25-Oct-2020	73H	0.011	3	6	11	21	29	53	65	84	120	146	154
30-Mar-2008	25-Oct-2020	73J	0.006	6	12	32	36	56	73	76	104	104	321	321
30-Mar-2008	25-Oct-2020	73W	0.002	5	6	14	14	39	68	70	91	99	141	141
30-Mar-2008	25-Oct-2020	733	0.002	5	6	14	14	39	68	70	91	99	141	141
30-Mar-2008	25-Oct-2020	734	0.008	4	9	15	22	35	55	62	73	82	93	129
30-Mar-2008	25-Oct-2020	M11	0.128	4	6	9	12	14	19	28	38	93	129	776
30-Mar-2008	25-Oct-2020	332	0.113	3	6	10	16	22	27	35	57	106	134	199
30-Mar-2008	25-Oct-2020	333	0.113	3	6	10	16	22	27	35	57	106	134	199
30-Mar-2008	25-Oct-2020	74E	0.062	3	4	9	13	16	23	31	48	125	152	278
30-Mar-2008	25-Oct-2020	744	0.073	7	10	14	18	21	34	53	92	140	234	247
30-Mar-2008	25-Oct-2020	77W	0.122	6	8	12	16	21	25	27	36	40	114	147
30-Mar-2008	25-Oct-2020	772	0.082	3	7	9	12	15	17	23	28	39	116	146
