ValidFrom	ValidTo	Station	FltNr	Type	MutDate	ApprDate	GenDate
31-MAR-2013	26-OCT-2013	"AUA"	"KL0765"  	"TRE"	11-OCT-2012	10-OCT-2012	07-DEC-2013
27-OCT-2013	29-MAR-2014	"AUA"	"KL0765"  	"TRE"	23-MAY-2013	22-MAY-2013	07-DEC-2013
30-MAR-2014	25-OCT-2014	"AUA"	"KL0765"  	"TRE"	25-NOV-2013	24-OCT-2013	07-DEC-2013
31-MAR-2013	26-OCT-2013	"AUA"	"KL0767"  	"TRE"	11-OCT-2012	10-OCT-2012	07-DEC-2013
27-OCT-2013	29-MAR-2014	"AUA"	"KL0767"  	"TRE"	23-MAY-2013	22-MAY-2013	07-DEC-2013
30-MAR-2014	25-OCT-2014	"AUA"	"KL0767"  	"TRE"	25-NOV-2013	24-OCT-2013	07-DEC-2013
31-MAR-2013	26-OCT-2013	"AUH"	"KL0437"  	"TRE"	11-OCT-2012	10-OCT-2012	07-DEC-2013
27-OCT-2013	29-MAR-2014	"AUH"	"KL0437"  	"TRE"	23-MAY-2013	22-MAY-2013	07-DEC-2013
30-MAR-2014	25-OCT-2014	"AUH"	"KL0437"  	"TRE"	25-NOV-2013	24-OCT-2013	07-DEC-2013
31-MAR-2013	26-OCT-2013	"AUH"	"KL0438"  	"TRW"	11-OCT-2012	10-OCT-2012	07-DEC-2013
27-OCT-2013	29-MAR-2014	"AUH"	"KL0438"  	"TRW"	23-MAY-2013	22-MAY-2013	07-DEC-2013
30-MAR-2014	25-OCT-2014	"AUH"	"KL0438"  	"TRW"	25-NOV-2013	24-OCT-2013	07-DEC-2013
31-MAR-2013	26-OCT-2013	"BON"	"KL0761"  	"TRE"	11-OCT-2012	10-OCT-2012	07-DEC-2013
27-OCT-2013	29-MAR-2014	"BON"	"KL0761"  	"TRE"	23-MAY-2013	22-MAY-2013	07-DEC-2013
31-MAR-2013	26-OCT-2013	"BON"	"KL0765"  	"TRE"	11-OCT-2012	10-OCT-2012	07-DEC-2013
27-OCT-2013	29-MAR-2014	"BON"	"KL0765"  	"TRE"	23-MAY-2013	22-MAY-2013	07-DEC-2013
30-MAR-2014	25-OCT-2014	"BON"	"KL0765"  	"TRE"	25-NOV-2013	24-OCT-2013	07-DEC-2013
31-MAR-2013	26-OCT-2013	"BON"	"KL0767"  	"TRE"	11-OCT-2012	10-OCT-2012	07-DEC-2013
27-OCT-2013	29-MAR-2014	"BON"	"KL0767"  	"TRE"	23-MAY-2013	22-MAY-2013	07-DEC-2013
30-MAR-2014	25-OCT-2014	"BON"	"KL0767"  	"TRE"	25-NOV-2013	24-OCT-2013	07-DEC-2013
27-OCT-2013	29-MAR-2014	"BON"	"KL0769"  	"TRE"	23-MAY-2013	22-MAY-2013	07-DEC-2013
30-MAR-2014	25-OCT-2014	"BON"	"KL0769"  	"TRE"	25-NOV-2013	24-OCT-2013	07-DEC-2013
31-MAR-2013	26-OCT-2013	"CUR"	"KL0761"  	"TRE"	11-OCT-2012	10-OCT-2012	07-DEC-2013
27-OCT-2013	29-MAR-2014	"CUR"	"KL0761"  	"TRE"	23-MAY-2013	22-MAY-2013	07-DEC-2013
27-OCT-2013	29-MAR-2014	"CUR"	"KL0769"  	"TRE"	23-MAY-2013	22-MAY-2013	07-DEC-2013
