Solution,HeatSetPoint,GlazingRatio,WindowOpenArea,WallType, CeilingType,OverheatHrs, TotalCarbon, EnergykWh, CapitalCost
1,22,0.7,2.3,0,2,53,3.52,30073,398810
2,22,0.9,2.3,2,2,15,3.56,30603,393530
3,22,0.9,2.3,2,2,15,3.56,30603,393530
4,22,0.7,2.2,0,2,53,3.52,30081,397381
5,23,0.9,2.3,0,2,111,3.41,29140,409224
6,20.5,0.7,2.3,2,2,46,3.67,31604,390101
7,20.5,0.7,2.3,0,2,47,3.48,29756,399521
8,20.5,0.8,2.3,2,2,6,3.73,32061,386626
9,20.5,0.9,2.3,2,2,42,3.56,30583,394102
10,20.5,0.6,2.3,0,2,47,3.57,30477,395537
11,20.5,0.7,2.3,2,2,32,3.62,31134,392247
12,20,0.8,2.3,1,2,40,3.75,32020,387531
13,20.5,0.8,2.3,0,2,47,3.45,29516,401961
14,20.5,0.9,2.3,2,2,10,3.58,30789,392862
15,20,0.6,2.3,2,2,22,3.85,32932,382329
16,20,0.5,2.3,2,2,105,5.02,42704,369824
17,20,0.7,2.3,2,2,8,3.76,32138,384026
18,20,0.6,2.3,2,2,99,4.96,42165,369945
19,20,0.5,2.3,2,2,82,4.3,36651,375648
20,20,0.7,2.3,2,2,42,3.8,32505,383481
21,20,0.6,2.3,2,2,99,4,34115,379556
22,20,0.5,2.3,2,2,104,4.58,38939,372311
23,20.5,0.9,2.3,0,2,53,3.42,29252,405076
24,20,0.7,2.3,2,2,76,3.99,33984,380324
25,20,0.5,2.3,2,2,107,4.03,34440,379370
26,20,0.5,2.3,2,2,113,4.52,38489,372352
27,20,0.5,2.3,2,2,53,3.93,33628,381194
28,20,0.5,2.3,2,2,15,3.98,33994,379837
29,20,0.5,2.3,2,2,90,4.1,34884,377458
30,20,0.5,2,2,2,94,4.17,35622,377239
31,20,0.8,2.3,2,2,87,3.67,31531,390550
32,20,0.5,2,2,2,99,4.52,38489,372765
33,20,0.5,2.3,2,2,107,4.49,38176,372858
34,20,0.5,2.3,2,2,128,4.05,34577,379370
35,20,0.5,2.3,2,1,99,4.93,41963,370995
36,20,0.5,2,2,1,63,4.23,36039,376683
37,20,0.5,2.3,2,1,98,4.91,41809,371459
38,20,0.5,2.3,2,1,47,4.35,37136,374072
39,20,0.5,2,2,1,100,4.48,38129,373625
40,20,0.8,2.3,2,1,83,3.68,31621,388786
41,20,0.5,2.3,2,1,130,3.95,33802,381038
42,20,0.5,2,2,0,84,4.17,35604,377405
43,20,0.8,2.3,2,0,61,3.64,31215,391027
44,20,0.5,2.3,2,0,105,4.32,36898,375187
45,20,0.5,2.3,2,0,127,4.06,34624,379062
46,20,0.5,2.2,2,0,105,4.5,38307,372783
47,20,0.5,2.3,2,0,133,4.47,38066,373749
48,20,0.5,2.3,2,0,88,5.07,43123,369426
49,20,0.5,2.3,2,0,110,4.18,35727,376995
